id,y_true,y_pred,absolute_error
1736109841.955607,69.0,111.54552901023234,42.54552901023234
1736109843.993268,292.0,200.65926745082143,91.34073254917857
1736109846.053999,280.0,235.4712319690627,44.5287680309373
1736109848.099367,64.0,116.5811777705922,52.581177770592205
1736109850.146954,132.0,246.2943238348553,114.2943238348553
1736109852.216265,122.0,169.7032658136878,47.70326581368781
1736109854.311757,59.0,134.18514410342,75.18514410341999
1736109856.408759,63.0,58.62131994257446,4.378680057425541
1736109858.617663,42.0,127.75230657546763,85.75230657546763
1736109860.666926,272.0,192.32218372026307,79.67781627973693
1736109862.729436,91.0,180.67257769338516,89.67257769338516
1736109864.837268,259.0,240.0711930756277,18.92880692437231
1736109866.978616,161.0,187.875370986257,26.875370986256996
1736109869.039589,199.0,111.81862434397621,87.18137565602379
1736109871.166519,144.0,155.67052006499372,11.670520064993724
1736109873.220741,134.0,73.03167734304839,60.968322656951614
1736109875.269351,236.0,230.57679439812767,5.423205601872326
1736109877.478387,45.0,34.89181681372594,10.108183186274061
1736109879.582758,232.0,189.19505093294765,42.80494906705235
1736109881.697158,61.0,114.23552011556151,53.23552011556151
1736109883.788813,131.0,164.5424546080423,33.542454608042306
1736109885.822384,72.0,109.99895704196138,37.998957041961376
1736109887.890746,84.0,99.13924946149123,15.139249461491232
1736109890.002025,186.0,199.01879824754022,13.018798247540218
1736109892.128087,182.0,139.1110497888154,42.88895021118461
1736109894.171802,111.0,124.51672384412979,13.516723844129785
1736109896.224588,98.0,79.93968010809874,18.06031989190126
1736109898.297199,59.0,134.18514410342,75.18514410341999
1736109900.345856,155.0,157.93501040043049,2.9350104004304853
1736109902.410123,71.0,86.23824125612443,15.238241256124425
1736109904.458862,52.0,63.27231315319558,11.272313153195583
1736109906.498392,72.0,109.99895704196138,37.998957041961376
1736109909.044207,174.0,172.67625919345255,1.3237408065474483
1736109911.088367,90.0,177.27157771037767,87.27157771037767
1736109913.187185,144.0,155.67052006499372,11.670520064993724
1736109915.267894,217.0,231.2947403055721,14.294740305572105
1736109917.321704,111.0,106.90148494929994,4.098515050700058
1736109919.380171,135.0,128.46225833599922,6.537741664000777
1736109921.441445,230.0,139.54451790980855,90.45548209019145
1736109923.536102,81.0,99.59081773170232,18.590817731702316
1736109925.591057,150.0,148.98351571078368,1.0164842892163222
1736109927.622698,135.0,103.56515314725924,31.434846852740762
1736109929.652635,83.0,123.8346159141911,40.834615914191104
1736109931.702366,77.0,77.25168449416833,0.2516844941683303
1736109933.796358,281.0,196.91468873477908,84.08531126522092
1736109935.880484,102.0,111.44975399896218,9.44975399896218
1736109937.925897,138.0,73.89134661588618,64.10865338411382
1736109940.001316,140.0,172.14766276487646,32.14766276487646
1736109942.04609,61.0,114.23552011556151,53.23552011556151
1736109944.130802,61.0,145.62742227237885,84.62742227237885
1736109946.14824,233.0,199.28001607830026,33.719983921699736
1736109948.183584,292.0,200.65926745082143,91.34073254917857
1736109950.260722,131.0,157.01450004292582,26.014500042925818
1736109952.332439,302.0,150.6474832754822,151.3525167245178
1736109954.420855,200.0,117.45232726324278,82.54767273675722
1736109956.50374,138.0,73.89134661588618,64.10865338411382
1736109958.690319,173.0,200.44066818467962,27.440668184679623
1736109960.742522,277.0,254.06119047146353,22.938809528536467
1736109962.775565,40.0,136.2337407747503,96.23374077475029
1736109964.891021,242.0,171.26948628529857,70.73051371470143
1736109966.927694,242.0,279.3113320712074,37.3113320712074
1736109969.026703,84.0,92.86459928098338,8.864599280983384
1736109971.193133,97.0,148.0032693732687,51.003269373268694
1736109973.320506,63.0,118.85423041636734,55.85423041636734
1736109975.954762,288.0,209.09181699661409,78.90818300338591
